locus_tag	MW0	MY0	MZ0	MW1	MY1	MZ1	MW2	MY2	MZ2	MW3	MX3	MY3	MZ3	MW4	MX4	MY4	MZ4	MW5	MX5	MY5	MW6	MX6	MY6	MZ6
" AURMO_01304:pyruvate,water dikinase"	1025	1007	1057	1510	975	754	781	1214	1949	1740	919	1512	455	1912	1739	1485	3605	2004	1158	2287	915	1594	1714	3634
" AURMO_01305:pyruvate,water dikinase"	604	559	630	825	474	401	368	578	1062	928	468	758	218	723	927	618	1255	1014	630	1159	407	905	684	1319
 AURMO_01306:hypothetical protein	434	392	450	553	339	292	256	372	698	597	325	438	167	540	795	466	868	719	527	744	319	723	533	970
 AURMO_01307:IclR family transcriptional regulator 	272	191	258	339	128	140	175	192	450	349	211	304	78	257	517	216	305	408	250	357	143	422	264	331
 AURMO_01308:transporter family-2 protein	209	220	218	336	161	153	201	136	407	303	220	247	70	183	500	164	218	363	252	322	114	408	185	219
 AURMO_01309:hypothetical protein	2232	2238	2033	3029	1462	1476	1181	1861	3839	3370	1299	2325	676	2026	1836	1841	1709	3325	1541	3219	1270	1791	2066	1741
 AURMO_01310:hypothetical protein	339	282	297	466	225	240	231	382	717	498	389	422	126	407	555	402	440	573	433	608	208	330	405	343
 AURMO_01311:citrate lyase subunit beta/citryl-CoA lyase	2329	2049	2191	2835	1430	1630	1443	2210	4209	3030	1935	2474	744	2392	2795	2135	2528	2972	2561	3221	1165	2028	2035	2432
 AURMO_01312:3-oxoadipate enol-lactonase	1102	957	986	1435	717	686	691	943	1845	1611	1207	1197	364	1292	1590	1185	1604	1687	1351	1711	666	1245	1214	1757
 AURMO_01313:leader peptidase (prepilin peptidase)/N-methyltransferase	195	201	222	278	149	158	128	189	384	318	215	271	80	379	371	283	621	461	225	560	226	327	543	617
 AURMO_01314:PhoH-like ATPase	3723	3645	3320	5797	3224	2493	3044	6043	9183	9273	7917	9310	2349	10445	7610	10422	19459	9962	5376	11324	3993	4036	8795	15780
 AURMO_01315:short-chain Z-isoprenyl diphosphate synthase	1122	942	963	1373	726	699	702	920	1937	1524	1065	1194	356	1148	1549	1088	1357	1489	1296	1474	561	1017	1005	1206
 AURMO_01316:Fic family protein	158	123	124	210	87	106	91	136	202	212	127	178	55	151	499	119	145	201	152	196	84	487	132	213
 AURMO_01317:channel protein (hemolysin III family)	1008	668	826	1176	476	691	579	719	1322	1140	708	1016	200	1104	1207	740	835	1345	874	1117	498	951	748	1026
 AURMO_01318:TipAS antibiotic-recognition protein	395	365	413	540	281	352	272	467	1003	696	345	626	200	542	486	508	519	722	393	774	240	364	426	455
 AURMO_01319:hypothetical protein	325	360	354	538	230	287	271	359	855	588	372	523	141	451	441	336	332	545	352	561	224	369	345	325
 AURMO_01320:uncharacterized protein DUF4307	154	154	239	322	119	152	87	141	498	277	169	349	65	195	377	178	226	388	207	328	96	348	197	300
 AURMO_01321:transcription elongation factor GreA	1646	1734	2051	2413	1295	1363	1053	1789	4009	2875	1716	2291	696	1790	2510	1724	1852	2558	2188	2885	935	1826	1675	1966
 AURMO_01322:threonine dehydratase	2735	2410	3052	3981	1899	1836	1836	2376	5501	4170	2405	3105	822	2720	3754	2383	3592	4414	2967	4103	1544	2707	2678	3716
 AURMO_01323:heat shock protein 	1740	1673	1610	2333	1014	1147	1011	1384	3047	2396	866	1714	548	1451	1448	1369	1657	2868	1100	2542	1121	1355	1671	1665
 AURMO_01324:LemA protein	2891	2404	2366	3474	1574	1823	1627	2465	4913	4198	1561	2900	789	2597	2175	2060	2710	4587	1793	3884	1831	1940	2615	3000
 AURMO_01325:nitrate/nitrite transporter NarK	1019	1003	890	1187	555	718	586	677	1458	1121	700	912	286	857	1325	768	809	1306	1100	1361	450	1138	947	1059
 AURMO_01326:amylosucrase	517	497	475	661	363	287	351	485	908	697	286	565	163	578	1057	560	1116	730	567	844	333	892	657	1331
 AURMO_01327:prevent-host-death family protein	158	135	126	173	88	98	85	126	213	211	115	175	64	184	201	137	181	197	157	204	77	165	138	191
 AURMO_01328:mRNA-degrading endonuclease RelE of RelBE toxin-antitoxin system	45	44	33	57	24	27	26	76	86	71	24	63	14	47	102	54	42	82	44	94	28	85	69	42
 AURMO_01330:NADH dehydrogenase FAD-containing subunit	17096	15241	17931	24052	10931	11850	10482	18058	33242	25074	13162	19698	5406	15726	19635	15392	12021	21099	17586	23281	8025	15238	12874	13076
 AURMO_01331:subtilase family protein	701	634	722	1002	509	578	465	740	1655	1160	988	991	246	685	1273	700	1077	1076	877	1109	353	917	623	914
 AURMO_01332:hypothetical protein	1328	1227	1310	1993	909	1012	975	1429	2714	2025	1513	1802	433	1544	1904	1397	1543	1935	1586	1969	775	1270	1090	1700
 AURMO_01333:cell division protein FtsB	1198	1105	1176	1432	723	903	779	1226	2381	1633	1254	1230	423	1214	1460	1205	1377	1497	1350	1566	615	987	960	1266
 AURMO_01334:enolase 	7883	7962	7988	10806	5995	6273	5824	8822	16262	12903	9532	11532	3677	9255	10912	9391	9945	10788	9384	12750	4554	7624	7664	10038
 AURMO_01335:histidyl-tRNA synthetase 	2422	2276	2421	3621	1624	1680	1754	2251	4633	3654	2232	2984	848	2587	3426	2349	2991	3474	2737	3308	1359	2386	2161	3463
 AURMO_01336:XTP/dITP diphosphohydrolase	720	623	635	916	476	455	456	695	1212	1107	676	874	260	834	1046	738	1354	1055	864	1166	502	812	788	1565
 AURMO_01337:hypothetical protein	676	706	641	857	397	362	424	509	913	922	605	634	193	864	858	569	1567	1021	723	867	447	611	682	1564
 AURMO_01338:phosphoenolpyruvate carboxykinase (GTP)	39662	31774	27493	48950	24524	17902	22246	31208	45612	48975	28084	34504	9151	40291	39301	28685	85813	48744	38278	40981	23514	27658	31951	95425
 AURMO_01339:predicted transcriptional regulator	1569	1389	1568	1665	1090	869	901	1287	1930	2186	949	1747	537	1907	1966	1475	2764	2529	1609	2414	1226	1748	1677	3388
 AURMO_01340:sodium/proton antiporter (NhaA family) 	969	855	941	1277	653	666	659	879	1674	1365	939	1194	345	1163	1523	972	1624	1593	1091	1561	644	1224	1142	1657
 AURMO_01341:transcription-repair coupling factor 	650	572	713	848	395	429	411	552	1138	798	403	667	195	506	1501	470	413	770	585	708	264	1482	488	478
 AURMO_01342:hypothetical protein	1654	1604	1375	2150	971	1005	954	1366	2807	2262	958	1556	500	1431	1451	1245	1262	2364	1092	2068	1068	1351	1350	1389
 AURMO_01343:PTH1 family peptidyl-tRNA hydrolase	326	328	372	470	244	301	244	345	819	474	237	371	83	241	437	238	194	403	268	450	132	356	212	186
 AURMO_01344:large subunit ribosomal protein L25	12464	12337	13387	17147	8872	10222	7447	14685	27752	19366	7096	14127	4414	8569	12030	9295	6374	14696	11160	17755	5034	9505	8574	6617
 AURMO_01345:6-phosphogluconate dehydrogenase	6904	6356	7562	9422	4755	5355	4561	7073	14335	10466	6497	8867	2773	7318	9165	6954	5676	9027	7590	10010	3620	6898	5854	6339
 AURMO_01346:fructokinase	1937	1655	2034	2606	1312	1489	1444	1933	4063	2885	1773	2281	710	1980	2708	1917	1500	2500	2093	3033	1044	2142	1672	1649
 AURMO_01347:hypothetical protein	1839	1679	2060	2451	1211	1467	1250	1920	3908	2558	1543	2085	621	2135	2599	1764	1679	2506	2121	2839	994	1822	1772	1771
 AURMO_01348:tRNA(fMet)-specific endonuclease VapC	175	199	164	185	93	122	102	161	262	232	173	204	56	207	285	178	191	265	172	267	89	183	174	189
 AURMO_01349:antitoxin VapB	109	132	125	160	62	98	77	114	208	173	117	154	45	154	162	139	141	188	140	187	80	118	138	124
 AURMO_01350:ribose-phosphate pyrophosphokinase	4043	3780	3787	5350	2591	2918	2862	4230	7805	6164	4494	4772	1487	5121	5173	4583	5345	6249	4918	6789	2605	3566	4397	5392
 AURMO_01351:UDP-N-acetylglucosamine pyrophosphorylase /glucosamine-1-phosphate N-acetyltransferase 	2375	2196	2258	3143	1486	1875	1667	2311	4717	3737	2595	3301	795	2858	3209	2365	2884	3691	2512	3842	1434	2292	2340	3146
 AURMO_01353:MarR family transcriptional regulator 	323	289	275	478	176	258	215	296	623	512	304	365	95	357	483	290	346	498	308	434	185	395	318	396
 AURMO_01354:hypothetical protein	73	76	65	88	50	45	56	79	182	106	95	92	30	99	160	84	113	131	87	135	53	173	90	123
 AURMO_01355:AbrB family looped-hinge helix DNA binding protein	72	73	68	115	65	51	37	69	126	110	91	88	27	84	141	85	99	102	93	116	52	133	84	98
 AURMO_01356:PIN domain nuclease of toxin-antitoxin system	200	207	203	309	134	167	121	202	381	327	213	258	77	272	322	208	291	335	266	341	120	216	239	257
 AURMO_01357:hypothetical protein	962	788	946	1074	548	699	586	853	1522	1421	1436	1189	341	1195	1252	1067	1378	1705	1054	1738	765	992	1252	1573
 AURMO_01358:hypothetical protein	215	182	265	268	133	147	142	174	388	317	735	229	84	282	496	231	329	375	343	334	208	318	277	331
 AURMO_01359:ATPase subunit of ABC transporter with duplicated ATPase domains	292	340	421	553	250	258	232	374	964	632	365	597	147	390	928	370	617	710	398	792	195	808	390	448
 AURMO_01360:4-diphosphocytidyl-2-C-methyl-D-erythritol kinase 	565	536	555	863	397	472	382	633	1373	861	509	735	207	644	940	609	601	817	570	843	277	692	528	582
 AURMO_01361:dimethyladenosine transferase 	310	305	357	531	222	273	333	399	840	618	439	576	139	462	715	455	504	559	393	577	216	554	353	512
 AURMO_01362:TatD DNase family protein	683	630	707	1112	514	574	581	844	1759	1247	1162	1079	298	863	1421	874	1095	1234	1035	1220	418	1007	780	1154
 AURMO_01363:methionyl-tRNA synthetase 	4683	4373	4960	6914	3203	3598	3265	4581	10330	7374	4029	6152	1884	4959	6312	4547	4404	6358	5175	6871	2464	4147	4023	4351
 AURMO_01364:hypothetical protein	859	694	719	946	480	572	545	759	1313	1065	902	893	299	952	1059	750	899	1150	1038	1122	517	699	805	1022
 AURMO_01365:EndoU nuclease-like protein	142	105	130	144	82	102	99	124	221	175	99	169	46	165	162	157	119	167	144	187	85	124	156	123
 AURMO_01366:16S rRNA (cytidine1402-2'-O)-methyltransferase	551	529	569	698	319	389	368	459	1012	749	452	630	176	596	824	470	518	741	535	711	314	684	542	559
 AURMO_01367:dolichyl-phosphate-mannose-protein mannosyltransferase	1717	1536	1617	2273	1100	1145	1074	1526	3236	2147	1539	1668	561	1807	2415	1442	1796	2362	1969	2298	995	1801	1732	1932
 AURMO_01368:L-serine dehydratase	6855	6526	5765	8410	4597	4037	4056	5872	9545	7901	6301	6853	1907	6645	9148	6266	10877	9042	8843	9928	3712	6813	6378	12335
 AURMO_01369:homocysteine S-methyltransferase	10	4	2	6	3	4	4	8	2	11	3	3	3	5	101	3	3	4	4	6	6	74	7	5
 AURMO_01370:hypothetical protein	1738	1986	2476	2788	1508	1585	2027	2715	4958	3443	2132	2269	496	2592	3380	3221	8510	4964	1990	4700	1576	2274	3625	5487
 AURMO_01371:uncharacterized protein (DUF305 family)	392	431	622	705	341	302	275	434	981	617	222	480	125	346	680	374	485	664	392	679	236	535	342	511
 AURMO_01372:hypothetical protein	50	61	88	94	43	60	36	71	122	77	29	64	24	43	264	43	45	80	61	85	28	321	35	67
 AURMO_01373:AhpD family alkylhydroperoxidase	54	57	88	126	52	53	52	57	157	76	17	86	19	49	233	50	76	113	63	110	31	232	51	67
 AURMO_01374:DNA-binding FrmR family transcriptional regulator	844	796	971	1772	667	594	651	883	1832	1604	713	1206	341	952	1134	896	1449	1955	851	1696	740	969	937	1502
 AURMO_01375:Cu2+-exporting ATPase	2765	2728	3038	4907	1764	1862	2592	2988	5477	4891	1803	3039	793	3230	3104	3085	5186	7536	2075	5733	2486	3093	3079	5141
 AURMO_01376:3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase subunit	346	363	480	529	261	290	236	436	868	598	297	476	87	405	734	410	741	588	418	711	218	664	451	545
 AURMO_01377:homocysteine S-methyltransferase	665	660	624	902	442	422	425	633	1249	962	671	748	251	715	969	648	803	878	866	939	336	623	609	715
 AURMO_01378:predicted MFS family arabinose efflux permease	464	403	432	521	280	283	302	398	746	592	404	467	176	426	800	372	558	594	463	586	272	737	400	565
 AURMO_01379:ATP-dependent helicase HrpA	510	448	532	633	307	390	297	454	852	667	482	618	176	447	1504	427	494	734	621	720	269	1284	498	504
 AURMO_01380:LPXTG-motif cell wall-anchored protein	887	816	845	1091	509	623	586	873	1604	999	1133	832	264	529	1309	537	418	688	925	696	247	942	394	554
 AURMO_01381:ribonucleoside-diphosphate reductase beta chain	36907	40123	41686	50838	28704	32907	25918	45867	76547	64055	32458	51204	19360	45249	46952	47573	61486	53591	45663	65869	24283	38794	42215	53118
 AURMO_01382:hypothetical protein	2	13	13	4	9	10	8	9	24	10	6	9	4	7	79	13	12	3	11	19	7	75	5	8
 AURMO_01383:ribonucleoside-diphosphate reductase alpha chain	75172	76770	80787	103173	54266	60182	46648	73428	149591	119480	57232	97301	33621	90118	88813	86701	100700	111768	82813	123999	47420	67836	80386	89813
 AURMO_01384:predicted MFS family arabinose efflux permease	1289	1057	1218	1726	702	836	845	1005	2084	1522	1054	1098	333	1196	1844	997	954	1591	1456	1542	602	1260	1051	1087
 AURMO_01385:cystathionine beta-lyase	3335	2974	3560	4317	2333	2411	1873	3061	6079	4791	3039	3791	1218	3917	4492	3591	5554	5476	3674	5956	2262	3289	4087	5425
 AURMO_01386:pyridoxamine 5'-phosphate oxidase 	320	353	362	438	214	257	196	357	673	561	391	560	133	458	639	417	581	671	397	649	253	495	490	602
 AURMO_01387:NADP-dependent 3-hydroxy acid dehydrogenase YdfG	583	457	436	746	312	328	370	482	857	892	651	633	169	654	828	595	805	898	630	805	360	638	655	943
 AURMO_01388:phosphate ABC transporter ATP-binding protein (PhoT family) 	146	76	132	183	87	67	102	116	204	270	91	199	53	125	294	160	140	240	95	226	99	293	144	155
 AURMO_01389:LPXTG-site transpeptidase (sortase) family protein	38	23	33	40	22	36	19	40	46	67	25	44	10	36	287	36	31	65	35	63	35	291	44	21
 AURMO_01390:hypothetical protein	31	34	27	37	23	13	26	32	36	62	13	35	8	26	235	35	26	68	34	61	24	223	30	21
 AURMO_01391:dihydroorotate dehydrogenase (fumarate)	67	51	78	98	46	59	56	78	110	148	26	100	25	70	224	57	40	115	47	136	85	276	88	62
 AURMO_01392:hypothetical protein	31	38	31	24	16	25	23	29	56	54	30	34	14	46	211	29	47	54	35	46	16	150	36	36
 AURMO_01393:hypothetical protein	1253	1543	1585	1893	867	1153	964	1961	2864	2260	895	1585	553	1654	1433	1501	1835	2344	1265	2245	918	1263	1694	1670
 AURMO_01394:hypothetical protein	114	80	120	142	86	72	63	131	209	213	92	143	45	113	327	140	130	161	111	226	71	368	152	143
 AURMO_01395:hypothetical protein	105	112	125	157	92	79	109	105	172	204	70	140	47	90	572	98	78	248	116	214	100	606	132	88
 AURMO_01396:uncharacterized protein DUF4333	60	56	70	73	34	40	39	44	95	106	34	71	25	68	161	72	73	96	56	104	44	101	88	64
 AURMO_01397:phosphate ABC transporter substrate-binding protein (PhoT family) 	219	198	203	307	124	156	128	195	302	432	131	274	92	261	528	214	337	439	222	410	195	531	257	385
 AURMO_01398:phosphate ABC transporter membrane protein 2 (PhoT family) 	23	37	21	46	21	17	21	28	40	53	11	33	10	22	289	25	26	62	28	60	25	306	36	26
 AURMO_01399:phosphate transport system permease protein	129	78	75	100	36	49	60	72	100	158	34	94	17	82	265	66	57	145	62	128	94	311	105	86
 AURMO_01400:serine/threonine-protein kinase	128	156	157	194	93	115	80	134	280	203	74	184	52	148	494	129	142	215	149	205	79	438	124	133
 AURMO_01401:hypothetical protein	3486	3425	3354	4929	2441	2635	2509	3860	7477	5400	4699	5025	1261	4722	5442	4285	6149	5049	4424	5227	1961	3043	3332	4798
 AURMO_01402:ribosomal-protein-alanine N-acetyltransferase	633	605	579	784	374	380	387	473	999	763	493	585	196	577	862	495	492	768	792	827	319	732	515	576
 AURMO_01403:5-formyltetrahydrofolate cyclo-ligase	471	396	510	626	311	337	312	348	942	637	403	450	140	450	783	333	340	574	540	617	215	553	365	388
 AURMO_01404:hypothetical protein	54	43	62	80	36	36	30	49	127	98	78	69	17	71	115	55	50	71	71	60	32	132	43	76
 AURMO_01405:hypothetical protein	4467	4354	4398	6461	2946	3430	2931	4352	9123	5923	4502	5680	1282	4656	6888	4032	4867	5609	5150	5146	2061	4790	3120	4353
 AURMO_01406:23S rRNA (adenine2503-C2)-methyltransferase	2010	1832	2235	3008	1558	1482	1330	2133	4175	3222	2020	2647	702	2301	3176	1999	2438	2951	2769	2914	1303	2415	1855	2505
 AURMO_01407:hypothetical protein	151	96	148	142	70	85	92	95	200	193	69	118	34	180	200	99	154	189	172	182	88	150	146	271
 AURMO_01408:hypothetical protein	208	141	225	217	96	102	80	126	276	189	70	142	50	138	233	111	109	175	151	204	110	242	130	173
 AURMO_01409:cobalt-zinc-cadmium efflux system protein	2625	2182	2855	3634	1887	1814	1494	2449	5333	4215	2709	3402	942	3031	4222	3158	5177	4741	2865	5260	1913	2875	3402	4766
 AURMO_01410:cation efflux family protein	3499	2954	4150	5053	2626	2586	2085	3481	6694	5432	2968	4248	1250	3972	4907	3801	6502	6259	3615	6310	2518	3813	4223	5902
 AURMO_01411:ArsR family transcriptional regulator 	2254	1702	2361	3139	1498	1318	1265	1737	3768	3371	1824	2422	651	2449	3049	1975	3528	3963	2795	3605	1491	2488	2087	3767
 AURMO_01412:hypothetical protein	3	4	7	11	5	3	3	3	5	8	5	6	0	5	220	1	5	8	16	2	1	212	0	1
 AURMO_01413:abortive infection Abi-like protein	48	41	57	78	57	33	33	52	116	91	33	80	9	71	256	64	80	90	47	101	40	217	58	88
 AURMO_01414:hypothetical protein	19	23	22	21	20	13	30	25	42	27	9	34	10	19	140	17	22	28	26	33	13	155	19	16
 AURMO_01416:HNH endonuclease	2713	2384	2679	4132	2305	1813	2086	2885	5420	5739	5501	5511	1537	5086	5354	5057	10185	5617	3795	6146	2487	3037	4513	8486
 AURMO_01417:cell wall-associated NlpC family hydrolase	14414	12997	15108	20488	9058	10519	9552	13363	30695	20593	11135	16202	4463	15710	16870	13651	14047	21861	15700	22681	7978	11414	13714	11741
 AURMO_01418:DtxR family iron (metal) dependent repressor 	2383	2069	2305	3347	1403	1689	1429	2139	4649	3646	2149	2878	809	2698	3045	2297	2590	3530	2511	3368	1332	2172	2194	2856
 AURMO_01419:phosphoserine aminotransferase 	3189	2600	3311	4376	2060	2420	2197	3260	6923	4868	3042	4078	1065	3639	4043	2917	3526	4661	3315	4630	1851	3059	2748	3541
 AURMO_01420:hypothetical protein	1643	1641	2019	2411	1240	1271	964	1550	4146	2483	1165	2148	596	1688	2150	1596	1776	2640	1738	2969	858	1543	1516	1621
 AURMO_01421:putative cold-shock DNA-binding protein 	1554	1506	1723	2111	1071	1214	1005	1458	3369	2342	1420	1872	577	1587	1871	1356	1495	2265	1758	2262	844	1349	1346	1535
 AURMO_01422:hypothetical protein	378	373	333	543	225	239	275	364	873	668	467	481	146	508	568	385	431	602	410	550	271	335	387	454
 AURMO_01423:XPB/Ssl2-like helicase family protein	503	488	530	768	398	410	382	505	1119	788	504	620	201	632	1131	578	554	797	682	853	312	899	510	558
 AURMO_01424:DNA excision repair protein ERCC-3	1890	1747	2126	2880	1250	1578	1402	1853	4474	2885	1447	2634	700	1953	2656	1799	1901	2665	1922	2918	975	1863	1661	1836
 AURMO_01425:two-component system OmpR family response regulator	3427	3566	3061	4141	2519	2263	1903	3204	5041	4826	1518	3281	1107	1851	2620	1632	1884	5122	2051	4349	2566	3435	2587	2532
 AURMO_01426:two-component system OmpR family sensor kinase	1329	1375	1128	1793	858	871	901	1188	2612	2085	998	1662	417	1252	1379	1058	1129	1928	923	1715	803	1199	1205	1118
 AURMO_01427:WXG100 family type VII secretion target	9	15	12	7	7	8	7	12	19	12	5	18	3	8	104	10	3	13	13	13	3	140	9	4
 AURMO_01428:chaperonin GroEL	45169	42484	52086	45769	30888	32316	26255	52697	73402	87271	10812	58346	20868	27988	25493	31228	24538	76147	19113	98824	24565	36306	48102	67541
 AURMO_01429:Putative lipoprotein YerB precursor	11508	11036	11356	16782	8439	8542	8077	12663	23683	17755	16716	15234	4131	13714	17855	13545	17698	15178	15482	16812	5864	10344	10041	14500
 AURMO_01430:putative cold-shock DNA-binding protein 	11039	10576	10877	13748	6625	8831	7868	9621	22126	14366	9529	9282	2894	12422	14483	11324	13454	20356	15418	20127	5759	7748	13022	10243
 AURMO_01431:LytR cell envelope-related transcriptional attenuator	1222	1186	1211	1559	782	872	796	1083	2385	1713	898	1374	374	1224	1273	1133	1382	1793	1057	1854	695	1002	1237	1313
 AURMO_01432:uncharacterized protein DUF3263	349	302	325	381	176	193	199	229	619	384	137	308	96	227	326	236	205	377	240	389	156	291	226	219
 AURMO_01434:thioredoxin-like protein	31901	30289	28572	41753	20066	22189	18261	26182	60307	48107	21282	35539	11482	28646	28615	28285	31289	43939	26173	46322	18428	23852	29407	30081
 AURMO_01435:23S rRNA (guanosine2251-2'-O)-methyltransferase	1862	1725	1904	2416	1313	1418	1189	2051	3949	2865	1836	2383	677	2139	2518	2103	2349	2696	2031	3033	1107	1842	1969	2327
 AURMO_01436:cysteinyl-tRNA synthetase 	2132	1825	2240	2981	1354	1527	1373	1951	4416	3162	1782	2585	737	2439	2909	2053	2419	3130	2310	3082	1255	2114	1971	2591
" AURMO_01437:2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase "	1277	1247	1244	1786	891	953	900	1237	2885	1785	1248	1681	415	1427	1669	1323	1314	2071	1404	2094	854	1320	1321	1460
 AURMO_01438:CarD family transcriptional regulator 	3905	3502	3903	5605	2219	2778	2676	3832	8034	5744	3511	5350	1271	4349	4766	3515	3339	5951	4126	5553	2036	3528	3450	3582
 AURMO_01439:hypothetical protein	5384	5007	6445	7435	3802	4147	3237	5031	10847	8164	4647	6763	1918	6067	6646	5925	7195	8423	5532	9614	3035	5116	6234	6299
 AURMO_01440:phosphoglycerate mutase 	4189	3902	4110	5533	2816	3205	2665	4323	8481	6625	4089	5471	1651	4818	5416	4475	4311	5744	4799	6282	2405	3817	3866	4545
 AURMO_01441:hypothetical protein	210	192	242	298	149	152	165	240	409	318	241	281	95	207	534	226	211	310	256	339	131	451	228	254
 AURMO_01442:hypothetical protein	890	748	874	1080	495	652	622	754	1724	1141	669	961	243	995	1207	851	969	1457	794	1344	599	929	914	1108
 AURMO_01443:hypothetical protein	14	9	21	27	10	5	22	21	27	30	12	16	3	30	50	13	8	25	15	14	11	38	9	17
 AURMO_01444:DNA-binding response OmpR family regulator	440	424	442	532	274	305	277	419	803	634	515	549	165	516	722	423	420	638	490	618	254	614	422	504
 AURMO_01445:polyphosphate kinase	1060	1000	1073	1447	696	789	728	897	2188	1582	1161	1332	338	1103	1907	942	933	1504	1194	1468	571	1404	880	1116
 AURMO_01446:8-oxo-dGTP diphosphatase	1278	1274	1288	1979	932	909	905	1301	2835	2176	1414	1786	524	1461	2206	1362	1458	2006	1615	2170	783	1561	1221	1741
 AURMO_01447:hypothetical protein	627	625	678	937	513	503	463	715	1493	971	699	862	243	729	1214	710	1071	959	865	1069	396	877	719	927
 AURMO_01448:hypothetical protein	118	79	82	120	68	66	65	66	182	131	118	132	39	138	195	116	143	145	109	149	54	94	70	142
 AURMO_01449:disulfide bond formation protein DsbB	1498	1403	1306	2173	1224	1124	1110	1655	3417	2266	1963	1984	556	1917	2311	1861	2363	2141	1859	2421	921	1322	1522	2084
 AURMO_01450:hypothetical protein	53	48	31	67	30	25	34	40	68	67	50	52	6	41	301	41	57	63	63	74	25	214	47	56
 AURMO_01451:uncharacterized repeat protein (TIGR02543 family)	26	26	26	36	22	21	24	18	80	42	12	28	5	37	194	25	26	35	32	35	19	155	20	26
 AURMO_01452:DNA-binding NarL/FixJ family response regulator	86	67	74	94	54	60	62	73	150	101	82	80	29	97	264	85	102	119	80	99	51	249	76	84
 AURMO_01453:signal transduction histidine kinase	184	136	193	231	131	131	130	129	338	270	166	230	73	167	565	164	203	280	185	297	108	588	178	202
 AURMO_01454:hypothetical protein	817	733	768	926	533	474	505	709	1294	1099	575	860	257	759	1267	773	834	1118	818	1216	440	1122	739	988
 AURMO_01456:uncharacterized protein DUF998	547	628	711	672	379	416	374	511	1048	691	296	621	200	583	604	475	507	790	437	848	397	613	608	571
 AURMO_01457:hypothetical protein	6723	6554	7157	8492	4119	4223	3858	5296	10503	6966	1007	5646	1837	4401	3572	3617	3255	7285	3805	7817	3788	5837	5210	4700
 AURMO_01458:hypothetical protein	1339	1576	1615	1929	1175	1219	968	2004	3395	2466	1826	2572	650	1611	2485	1906	1843	2036	2114	2567	678	1625	1422	1650
 AURMO_01459:poly-gamma-glutamate synthesis protein (capsule biosynthesis protein)	3423	2986	3347	4405	2437	2395	2118	3445	6739	5259	4532	4395	1428	4109	5470	3837	5137	5175	4570	5785	2118	3609	3602	4832
 AURMO_01460:poly(glycerol-phosphate) alpha-glucosyltransferase	918	901	945	1208	624	634	649	906	1706	1391	766	1169	318	999	1419	906	1108	1312	1025	1372	535	1196	892	1088
 AURMO_01461:carbonic anhydrase/acetyltransferase-like protein (isoleucine patch superfamily)	6211	5055	5835	8068	3652	3981	3536	4876	9900	8285	5632	5890	1677	6116	6956	5445	8457	9320	6373	8989	3583	5503	5829	8708
 AURMO_01462:transposase IS481 family protein	93	87	91	120	46	83	68	74	164	131	54	102	34	97	125	90	87	107	63	114	52	92	100	83
 AURMO_01463:methylenetetrahydrofolate dehydrogenase (NADP+)/methenyltetrahydrofolate cyclohydrolase	4275	3927	4833	5925	3146	3483	2917	4332	9252	6912	3823	5534	1564	4864	5659	4595	5627	7265	4522	7907	2785	4207	4652	6404
 AURMO_01464:serine hydroxymethyltransferase 	7969	6225	8709	10725	5517	5570	5047	7398	15041	11973	7539	9656	2619	8326	9808	7404	9768	12211	7656	12151	4594	8026	7013	10954
 AURMO_01465:formyltetrahydrofolate deformylase 	2572	2371	2428	3412	1704	1879	1627	2549	5389	3829	2884	3099	915	2764	3587	2515	2726	3195	3216	3400	1326	2385	2071	2504
" AURMO_01466:4,5-DOPA dioxygenase extradiol"	4185	4359	4690	5337	2500	2726	2661	3225	6894	4396	914	3562	1079	2946	2440	2293	2698	5211	2523	5472	2433	3911	3883	3510
 AURMO_01467:hypothetical protein	1890	1832	2023	2566	1304	1524	1280	2152	4251	3427	2478	2978	852	3071	2569	2811	3501	3454	2339	3675	1606	1904	3101	3204
 AURMO_01468:hypothetical protein	2512	2450	2218	3281	1670	1874	1903	2946	4949	4225	4704	3405	1046	3605	3994	3193	3363	4082	3476	4343	1625	2532	2755	3650
 AURMO_01469:predicted ferric reductase	466	400	402	503	231	258	246	305	634	498	290	394	120	291	640	306	306	509	315	448	224	686	308	317
 AURMO_01470:uncharacterized protein with FMN-binding domain	169	150	142	181	89	103	62	144	291	230	124	146	55	134	262	125	162	190	142	182	90	215	102	121
 AURMO_01471:thiamine biosynthesis lipoprotein	90	84	69	110	50	57	70	89	188	124	61	93	27	83	282	83	77	110	100	117	38	288	107	76
 AURMO_01472:heavy metal-(Cd/Co/Hg/Pb/Zn)-translocating P-type ATPase	1756	1391	1750	2384	1060	1186	969	1351	2798	2372	1636	1707	535	2049	2738	1711	2718	2969	2005	2844	1220	2178	2194	2920
 AURMO_01473:LSU ribosomal protein L1P 	23651	22584	28758	33740	16969	17540	13392	23316	47772	33656	12755	24689	7812	16471	26820	16428	14478	27214	23897	32114	9407	20992	15324	15542
 AURMO_01474:LSU ribosomal protein L11P 	21468	19105	23067	25947	12632	14855	11721	17572	35322	27217	12409	19649	7204	16066	21475	13891	10562	21273	21445	22595	8774	17519	12583	12108
